id,active,duplicate_of,category,audience,product_family,image_path,tags,roles,quality_flags,source_pdf
"REF-0020","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0020.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","1243d8baca132d5901d09c1fa9992bdb.pdf"
"REF-0021","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0021.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","1953d42a949970f3989b270ab6ebf2a0.pdf"
"REF-0022","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0022.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo|handheld","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","199b3033fd10114c3831cfb8dace630e.pdf"
"REF-0023","true","","beauty_hair_makeup_portraits","adult","beauty_reference","reference_library/beauty_hair_makeup_portraits/REF-0023.jpg","beauty|hair|makeup|portrait_lighting|studio_or_catalog","hair_style|makeup_direction|portrait_lighting|closeup_framing","","19a06e5f7d0f177d724e4c8fdfe3c583.pdf"
"REF-0024","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0024.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","1a6e9219ff12cac1471977dfb92979e1.pdf"
"REF-0025","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0025.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","1b120e9fb29073caa468eb97459b7435.pdf"
"REF-0027","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0027.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","1cac1851613132b02bfab7bcf3af4286.pdf"
"REF-0028","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0028.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","1f5541b9d6f05341fe90f2251ec9c7cc.pdf"
"REF-0029","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0029.jpg","fashion|pinterest_ready|editorial|styled_outfit|mirror_selfie|casual_lifestyle","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","21185379e8d735b920b0699cafa8f29a.pdf"
"REF-0030","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0030.jpg","fashion|pinterest_ready|editorial|styled_outfit|outdoor|natural_light","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","22485424b384b81bbc8621069837d0d2.pdf"
"REF-0032","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0032.jpg","fashion|streetwear|editorial|styled_outfit|outdoor|natural_light","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","25753df2a524c049bb37be7e7ef27f64.pdf"
"REF-0033","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0033.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","26a2d35896739f23b7af745614ca1dcf.pdf"
"REF-0034","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0034.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","2705c78d118aff5f0322cd5da3229ae4.pdf"
"REF-0035","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0035.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","27b90bfd32e5b38eea70890a365848fc.pdf"
"REF-0037","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0037.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","2867f424cf35773c11e34b584781fe93.pdf"
"REF-0038","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0038.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","2991e7fd79f88a4f527acf4ec65d8e88.pdf"
"REF-0041","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0041.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","2d8fd475b8f542e48813284c3b782cce.pdf"
"REF-0042","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0042.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","2e7ac7b99f42fe15379adcfd195e66a4.pdf"
"REF-0043","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0043.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","2f8a299b2ad949b50b982f1fb64570c0.pdf"
"REF-0044","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0044.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","2feafbe395f53decd94cd7ee93a11350.pdf"
"REF-0045","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0045.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","32f323a7e0c35ab1510ea7c98535e455.pdf"
"REF-0046","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0046.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","34f190288291e75cddf706ec39fcedcf.pdf"
"REF-0047","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0047.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","372725aa0d3e054ea3ef34a945074a15.pdf"
"REF-0048","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0048.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","377eaa042cef6ac562609e09d5eccee8.pdf"
"REF-0049","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0049.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","379b9091f7fdca9318b89d06f1ca715b.pdf"
"REF-0050","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0050.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","3950d044a72ad35b208d105289b7f6f8.pdf"
"REF-0051","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0051.jpg","childrens_apparel|age_appropriate|commercial_catalog|outdoor|natural_light","pose|framing|styling|scene|lighting|garment_silhouette","","3a87d3c4bfe846b57bce35d463479218.pdf"
"REF-0052","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0052.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","3be241f7fe07aed01142b958a00de50e.pdf"
"REF-0053","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0053.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","3c367f7c3dac73f666b9483e0899a2dc.pdf"
"REF-0054","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0054.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","3e4fcc9df7cb20850d8e2a685b6dbdcb.pdf"
"REF-0055","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0055.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","3e7b594da716c0a88f7babc967840c84.pdf"
"REF-0057","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0057.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","4308cd3370ae6ded801de573224bf132.pdf"
"REF-0058","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0058.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","43ecc2fbc52f10ce32f27ee5c90effec.pdf"
"REF-0059","true","","beauty_hair_makeup_portraits","adult","beauty_reference","reference_library/beauty_hair_makeup_portraits/REF-0059.jpg","beauty|hair|makeup|portrait_lighting|colored_studio|editorial_lighting","hair_style|makeup_direction|portrait_lighting|closeup_framing","","4455ce22c601d2c949f2d07c09f73223.pdf"
"REF-0060","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0060.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","46e46fd80f3d172808aba2ade076dadc (1).pdf"
"REF-0061","false","REF-0060","apparel_men","adult_men","apparel","excluded/duplicates/REF-0061.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","exact_duplicate","46e46fd80f3d172808aba2ade076dadc.pdf"
"REF-0062","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0062.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","48d2ea038ebacbe603a10a4050c08c09.pdf"
"REF-0063","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0063.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","4a021ce1991d1258cf8ad84b2a009bfb.pdf"
"REF-0064","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0064.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","4a8d4db17b3b141ae64caa6af81391c4.pdf"
"REF-0065","true","","interior_bedroom_workspace_scenes","","scene_only","reference_library/interior_bedroom_workspace_scenes/REF-0065.jpg","cozy_bedroom|workspace|warm_light|soft_neutral|pinterest_interior|bedding_scene|soft_textiles","scene|lighting|palette|prop_styling|background_environment","","4b882a5c76603486f239e8722d3945e5.pdf"
"REF-0066","true","","beauty_hair_makeup_portraits","adult","beauty_reference","reference_library/beauty_hair_makeup_portraits/REF-0066.jpg","beauty|hair|makeup|portrait_lighting|studio_or_catalog","hair_style|makeup_direction|portrait_lighting|closeup_framing","","4cffabe768f1ab3386e4e277276076d8.pdf"
"REF-0068","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0068.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","4fff768f8054b3e38e6a6e617294cf8b.pdf"
"REF-0069","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0069.jpg","fashion|pinterest_ready|editorial|styled_outfit|mirror_selfie|casual_lifestyle","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","51a829cd4b0cea44bfb266b82a102fde.pdf"
"REF-0070","true","","beauty_hair_makeup_portraits","adult","beauty_reference","reference_library/beauty_hair_makeup_portraits/REF-0070.jpg","beauty|hair|makeup|portrait_lighting|studio_or_catalog","hair_style|makeup_direction|portrait_lighting|closeup_framing","","520a5be8caf5302889980925c446756a.pdf"
"REF-0072","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0072.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","53075560b27ae69c8546bb88420e9bba.pdf"
"REF-0074","true","","apparel_mannequin_product_only","adult_or_product_only","apparel","reference_library/apparel_mannequin_product_only/REF-0074.jpg","mannequin|product_only|garment_construction|flatlay_or_catalog|studio_or_catalog","product_construction|garment_silhouette|layering|fabric_behavior|color_palette","","54c4f57233cf7a7a10fcb95aa9799248.pdf"
"REF-0076","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0076.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","56765033deea2de51bd90a555fc2568d.pdf"
"REF-0077","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0077.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","575af12be6e83b8e3986b0f033992228.pdf"
"REF-0078","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0078.jpg","fashion|pinterest_ready|editorial|styled_outfit|outdoor|natural_light","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","57a226fb7f701142a519b8c54f56bc8d.pdf"
"REF-0079","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0079.jpg","fashion|pinterest_ready|editorial|styled_outfit|mirror_selfie|casual_lifestyle","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","57ac7bd10c76c3cd8e04e9ec581d4037.pdf"
"REF-0081","true","","drinkware_tumblers_bottles","","tumbler_or_bottle","reference_library/drinkware_tumblers_bottles/REF-0081.jpg","drinkware|glass_or_acrylic|bows|florals|pinterest_product_photo|handheld","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","5835e7ada642fc3b0083a1e4df19e7af.pdf"
"REF-0082","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0082.jpg","fashion|streetwear|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","5cbf83a76392068b5a5cf4fe5ec49695.pdf"
"REF-0083","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0083.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","5d58b6f10062dd7eaf543120a37b44fd.pdf"
"REF-0084","true","","interior_bedroom_workspace_scenes","","scene_only","reference_library/interior_bedroom_workspace_scenes/REF-0084.jpg","cozy_bedroom|workspace|warm_light|soft_neutral|pinterest_interior|bedding_scene|soft_textiles","scene|lighting|palette|prop_styling|background_environment","","5eeacec7b72577e72d51104bf8651ee0.pdf"
"REF-0085","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0085.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","5ef2244477bfc11339bed01c80e2b93c.pdf"
"REF-0086","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0086.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","63b32144ce349ebcf4debdd9e37ea680.pdf"
"REF-0087","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0087.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","64a7047e6007838d659547430490367b.pdf"
"REF-0088","true","","drinkware_tumblers_bottles","","tumbler_or_bottle","reference_library/drinkware_tumblers_bottles/REF-0088.jpg","drinkware|glass_or_acrylic|bows|florals|pinterest_product_photo|desk_or_workspace","product_shape|surface_decoration|scene|lighting|composition|prop_styling","","6576ed38ea769ab9a705a34552194874.pdf"
"REF-0089","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0089.jpg","childrens_apparel|age_appropriate|commercial_catalog|outdoor|natural_light","pose|framing|styling|scene|lighting|garment_silhouette","","65820eca0753c61a95087101e2a42d0e.pdf"
"REF-0090","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0090.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","6869ddecfd254d77ca083815da17ff14.pdf"
"REF-0092","true","","apparel_mannequin_product_only","adult_or_product_only","apparel","reference_library/apparel_mannequin_product_only/REF-0092.jpg","mannequin|product_only|garment_construction|flatlay_or_catalog|studio_or_catalog","product_construction|garment_silhouette|layering|fabric_behavior|color_palette","","6a006cac69af326d0381f00748f4f270.pdf"
"REF-0093","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0093.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","6a53eea52d1b8d7d943f2f38b3ba54eb.pdf"
"REF-0094","true","","apparel_mannequin_product_only","adult_or_product_only","apparel","reference_library/apparel_mannequin_product_only/REF-0094.jpg","mannequin|product_only|garment_construction|flatlay_or_catalog|studio_or_catalog","product_construction|garment_silhouette|layering|fabric_behavior|color_palette","","6ad2714bd7186c7e8b8cfa0a2c483ce4.pdf"
"REF-0095","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0095.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","6d62283ed95101b15f98ee14b6429720.pdf"
"REF-0096","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0096.jpg","fashion|streetwear|editorial|styled_outfit|outdoor|natural_light","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","6ebaf0bbc700f9b1cf0ebc5835522def.pdf"
"REF-0098","true","","drinkware_tumblers_bottles","","tumbler_or_bottle","reference_library/drinkware_tumblers_bottles/REF-0098.jpg","drinkware|glass_or_acrylic|bows|florals|pinterest_product_photo|desk_or_workspace","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","73749dad128c185713ca6aaf11e6da60.pdf"
"REF-0099","true","","apparel_children","children","apparel","reference_library/apparel_children/REF-0099.jpg","childrens_apparel|age_appropriate|commercial_catalog|studio_or_catalog","pose|framing|styling|scene|lighting|garment_silhouette","","749b724e69596bb8343e36e2faf3b2a2.pdf"
"REF-0100","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0100.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","7a262bf7a5f7a916638a4a95825efdd1.pdf"
"REF-0101","true","","drinkware_ceramic_mugs","","ceramic_mug","reference_library/drinkware_ceramic_mugs/REF-0101.jpg","drinkware|ceramic|cute|cozy|pinterest_product_photo|bedding_scene|soft_textiles","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","7b351d7374cbb1484b84a3afecfe0a18.pdf"
"REF-0102","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0102.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","7b94a6e6cb9e26332540218e79f8bd89.pdf"
"REF-0103","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0103.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","7b95cef62c9b27831a497252229c5d88.pdf"
"REF-0104","true","","apparel_men","adult_men","apparel","reference_library/apparel_men/REF-0104.jpg","fashion|streetwear|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","7bab9420a5a872735b6a2b5fba24899a.pdf"
"REF-0105","true","","phone_cases_accessories","","phone_case","reference_library/phone_cases_accessories/REF-0105.jpg","accessory|phone_case|handheld|flatlay|cute_product_photo","product_scene|surface_design_layout|handheld_composition|flatlay_composition|lighting","do_not_copy_trademarks_logos_or_copyrighted_characters","7bdf296d774c6472a14afff3a891014a.pdf"
"REF-0106","true","","drinkware_tumblers_bottles","","tumbler_or_bottle","reference_library/drinkware_tumblers_bottles/REF-0106.jpg","drinkware|glass_or_acrylic|bows|florals|pinterest_product_photo|handheld","product_shape|surface_decoration|scene|lighting|composition|prop_styling","do_not_copy_trademarks_logos_or_copyrighted_characters","7bdfefd63062bb5b09729df5b1b0d80e.pdf"
"REF-0107","true","","interior_bedroom_workspace_scenes","","scene_only","reference_library/interior_bedroom_workspace_scenes/REF-0107.jpg","cozy_bedroom|workspace|warm_light|soft_neutral|pinterest_interior|bedding_scene|soft_textiles","scene|lighting|palette|prop_styling|background_environment","","8099e8218d63fbdcaee4f718b98c6049.pdf"
"REF-0108","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0108.jpg","fashion|pinterest_ready|editorial|styled_outfit|colored_studio|editorial_lighting","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","817757a88b44f1ecfe0235fc798a154d.pdf"
"REF-0109","true","","apparel_mannequin_product_only","adult_or_product_only","apparel","reference_library/apparel_mannequin_product_only/REF-0109.jpg","mannequin|product_only|garment_construction|flatlay_or_catalog|studio_or_catalog","product_construction|garment_silhouette|layering|fabric_behavior|color_palette","","8281499010cd0eb0c3fa09d3165ff19f.pdf"
"REF-0110","true","","apparel_women","adult_women","apparel","reference_library/apparel_women/REF-0110.jpg","fashion|pinterest_ready|editorial|styled_outfit|studio_or_catalog","pose|framing|styling|scene|lighting|color_palette|garment_silhouette","","84ae663bf3efb2aabebed077844aac50.pdf"
